999 1487
1 898 27169
2 764 31662
3 146 14381
3 188 17225
3 220 7643
3 550 11363
3 709 23308
4 33 16525
4 456 3988
4 576 6436
4 869 9533
5 99 22227
5 205 810
5 608 10586
6 448 789
6 641 12401
6 816 28640
7 104 6054
7 938 14244
8 120 23687
8 321 15446
8 436 8496
8 439 13779
8 578 20526
8 692 29103
8 962 11881
9 383 12645
9 401 18607
9 442 12042
9 877 24691
10 127 30847
10 489 22381
10 704 19710
10 731 17670
10 931 17131
11 548 13190
11 637 1344
12 258 28129
12 301 22463
12 395 23135
12 403 4951
12 523 6746
12 628 28736
12 702 19016
12 965 26476
13 149 28975
13 151 18400
14 850 23839
15 985 7683
16 252 21845
16 370 30873
16 850 13415
16 859 20911
17 33 5211
17 95 14363
18 266 26130
18 388 28052
18 813 30100
19 553 12570
19 615 8027
20 107 7867
20 361 30488
20 667 17158
20 757 17576
20 937 2609
20 982 15257
21 372 10162
21 391 24824
22 38 17317
22 370 2946
23 286 23623
23 324 31673
23 748 5737
23 877 26267
23 920 18015
24 63 1188
24 121 2434
24 276 16838
24 553 22279
24 746 25238
25 173 20301
26 154 9425
26 744 6037
26 822 32354
26 945 17767
27 126 32650
27 247 19811
28 124 14796
29 89 18399
29 342 7465
30 501 6920
30 725 25486
30 826 24805
30 854 32256
30 868 2491
31 59 22521
31 624 16731
32 545 29682
32 575 29190
32 877 15660
33 203 12814
33 295 21284
33 430 6421
33 604 11527
34 303 7528
34 492 18311
34 623 22833
35 221 30357
35 241 6395
35 378 7835
36 38 4187
36 444 28608
37 229 24422
37 302 5689
38 126 3634
38 548 5969
39 94 14333
39 251 9977
39 587 3268
39 674 26737
39 807 20794
40 106 7568
40 326 19248
40 543 6024
40 608 20063
40 927 27026
41 53 21720
41 154 23823
41 325 21105
42 449 13625
42 465 2541
42 916 32015
42 918 3190
43 571 8002
43 611 15803
43 644 4467
43 910 31117
44 111 6024
44 274 16001
44 503 8448
44 719 14144
45 400 10445
45 485 4593
45 816 20361
45 926 29805
46 272 5511
46 548 26903
46 862 13588
47 312 31617
47 394 15110
47 811 2502
48 719 11169
48 801 8791
48 849 19784
48 889 23353
48 971 21074
49 156 12475
49 324 15001
50 250 18735
50 401 4615
50 913 7848
51 375 16439
51 557 32715
51 666 20967
51 778 2962
52 53 14992
52 799 2736
53 118 20400
53 169 14458
53 709 12493
53 935 4079
54 83 20038
54 350 6696
55 953 22826
56 65 15356
56 389 9625
56 575 29322
57 141 31521
57 314 6744
58 377 23187
58 410 23487
58 505 2111
58 608 14445
58 738 17860
58 989 23820
59 824 20555
59 917 2925
60 594 14793
60 607 11883
60 844 14398
61 134 15574
61 193 19298
61 422 19628
62 176 22945
62 530 11730
62 949 16222
63 429 1456
63 692 6557
63 929 866
64 567 2965
64 671 22248
64 749 6537
64 925 30810
65 496 260
65 611 21468
66 120 16671
66 735 27030
66 917 28824
66 918 1728
66 941 12005
67 263 32070
67 873 25646
68 408 25199
68 490 21532
69 309 26419
69 346 14483
69 850 28316
70 76 14973
71 279 25342
71 507 811
72 354 25151
72 463 3942
72 700 20525
72 893 31411
72 896 841
73 215 2473
73 467 17683
73 700 25054
74 756 19828
74 991 8935
75 923 14380
76 86 25960
76 161 30617
76 417 19582
77 248 7049
77 521 9144
77 579 5030
77 821 13642
77 885 5226
77 952 8865
78 678 15615
78 862 13040
79 932 9373
80 409 23848
80 577 19355
80 667 594
80 684 15098
81 324 23152
81 621 18847
81 737 23973
81 836 8909
82 110 31109
82 399 6211
83 610 333
83 958 8832
84 184 5015
84 490 10162
85 278 16050
85 318 14464
85 437 8766
85 548 2306
85 680 28574
85 695 24052
86 406 126
86 419 29963
86 628 2344
87 913 18712
88 212 28337
88 338 19709
88 615 26609
89 462 20844
89 631 31629
89 820 6910
90 679 22043
90 721 8475
90 879 26658
91 391 2519
91 409 11519
92 546 14135
92 674 16044
92 953 20479
93 379 21158
93 497 31417
94 656 23903
95 209 19598
96 421 31056
96 809 22206
97 219 28614
97 335 26202
97 601 15838
97 719 18929
97 780 16275
98 537 15521
98 569 1187
98 603 5010
98 793 30779
99 147 13039
99 148 20905
99 173 14275
99 409 30002
99 449 28686
99 712 19322
100 488 28564
101 400 29763
101 561 27117
101 772 31770
102 329 26353
102 602 14177
103 344 4240
104 272 21504
104 370 32552
104 547 6560
104 634 4181
104 730 3062
104 797 8751
104 884 28576
104 928 19064
104 940 1903
104 986 11843
105 236 27245
106 244 24594
106 544 12197
106 651 29424
106 692 9257
106 854 1418
108 250 5121
108 527 18477
108 742 14725
109 469 1209
109 514 23197
109 647 21104
110 667 1207
111 124 23250
112 198 14044
112 384 32354
112 783 28461
113 268 2145
113 750 1061
113 752 8266
114 153 26444
114 297 9802
114 532 1330
114 558 6348
114 583 182
114 620 30614
114 771 16885
115 343 29248
115 347 9115
115 493 5891
115 876 136
116 937 6338
117 269 12963
117 450 855
117 467 11366
118 236 23745
118 396 13748
118 723 21678
119 190 4984
119 297 26502
119 641 3851
119 813 31726
119 956 25205
120 252 7051
120 293 23164
120 368 24884
120 434 31475
120 497 11409
120 506 10882
120 811 233
120 965 6310
121 299 30282
121 636 31689
121 723 23943
122 422 10115
122 424 10443
122 850 20878
123 456 27712
124 281 31468
124 306 28820
124 372 24291
124 405 27617
124 427 24507
124 642 12443
124 692 3632
125 534 20009
125 620 1379
125 831 7860
126 261 31345
126 375 12983
126 483 31998
126 523 31401
126 541 29869
126 625 14745
126 732 28979
127 537 6911
128 170 26556
128 253 17435
128 987 23835
129 136 4934
129 436 10138
130 340 3919
130 569 5689
131 524 14643
131 865 21799
132 616 18010
133 227 25417
133 331 8502
133 641 30721
134 642 9242
134 897 16061
135 772 11194
135 914 28570
137 315 6997
137 518 18229
137 791 16703
138 453 21818
139 310 26706
139 461 10037
139 585 24094
139 673 97
139 934 18247
140 352 32046
140 484 13688
140 818 26196
140 835 27194
140 923 26932
140 958 7365
141 245 19147
141 334 32337
141 606 6453
142 337 23008
142 891 31135
143 464 27778
143 504 29943
143 558 15478
143 627 14737
143 787 5641
144 568 24288
144 646 6690
144 673 7262
144 966 7728
145 421 6440
145 962 24410
146 191 19493
146 282 10238
146 322 11307
146 788 11492
147 431 300
147 590 10036
148 242 31039
148 300 2048
148 679 32592
149 314 10515
149 610 3607
150 607 28426
151 412 559
152 184 1407
152 548 10036
153 833 21650
154 610 21565
155 729 4869
155 945 11554
155 974 25179
156 803 1598
156 941 26996
157 383 21294
158 722 7743
158 732 17145
159 189 18556
159 551 8888
160 990 4443
161 499 1388
161 990 24664
162 791 19604
162 808 25769
162 831 18350
163 521 27923
164 413 8264
164 649 16423
165 277 6650
165 348 18648
